Time,Src_IP,Dst_IP,S_Port,D_Port,Flags,Len,Win,TTL,Seq,Ack,Payload_Size,IAT
18:45:18.532,10.0.2.194,10.0.3.10,34733,80,24,80,18163,64,2577484795,0,40,0.0
18:45:18.584,10.0.2.248,10.0.3.10,62519,80,24,93,3456,64,1406283792,0,53,0.052
18:45:18.668,10.0.2.127,10.0.3.10,45764,80,18,64,24320,64,2556426110,0,24,0.084
18:45:18.720,10.0.2.253,10.0.3.10,44997,80,2,79,19417,64,410137247,0,39,0.052
18:45:18.780,10.0.2.194,10.0.3.10,58214,80,24,74,7679,64,3970852680,0,34,0.06
18:45:18.880,10.0.2.185,10.0.3.10,23392,80,32,86,22593,64,1275387922,0,46,0.1
18:45:18.936,10.0.2.194,10.0.3.10,58457,80,18,69,10047,64,2115125234,0,29,0.056
18:45:18.980,10.0.2.254,10.0.3.10,34318,80,2,85,21277,64,2367646752,0,45,0.044
18:45:19.068,10.0.2.194,10.0.3.10,57923,80,32,99,24989,64,919323349,0,59,0.088
18:45:19.164,10.0.2.57,10.0.3.10,44759,80,2,84,24827,64,3218582161,0,44,0.096
18:45:19.224,10.0.2.251,10.0.3.10,59035,80,1,59,20302,64,253170868,0,19,0.06
18:45:19.264,10.0.2.187,10.0.3.10,25057,80,32,51,22304,64,222850192,0,11,0.04
18:45:19.332,10.0.2.121,10.0.3.10,42382,80,32,98,23625,64,787643086,0,58,0.068
18:45:19.412,10.0.2.188,10.0.3.10,1030,80,32,82,20823,64,1326929342,0,42,0.08
18:45:19.489,10.0.2.193,10.0.3.10,11832,80,1,57,6498,64,3384891305,0,17,0.077
18:45:19.544,10.0.2.187,10.0.3.10,49360,80,18,52,10051,64,1362306308,0,12,0.055
18:45:19.632,10.0.2.116,10.0.3.10,39191,80,18,64,20765,64,706862103,0,24,0.088
18:45:19.684,10.0.2.183,10.0.3.10,55279,80,24,50,29262,64,336059285,0,10,0.052
18:45:19.764,10.0.2.249,10.0.3.10,46399,80,24,92,29304,64,2373826188,0,52,0.08
18:45:19.848,10.0.2.124,10.0.3.10,28081,80,2,68,19984,64,2898592438,0,28,0.084
18:45:19.936,10.0.2.182,10.0.3.10,47730,80,18,97,26396,64,556023931,0,57,0.088
18:45:20.028,10.0.2.59,10.0.3.10,29195,80,1,89,9119,64,3842120685,0,49,0.092
18:45:20.096,10.0.2.247,10.0.3.10,47723,80,18,54,2581,64,2682536934,0,14,0.068
18:45:20.148,10.0.2.56,10.0.3.10,12339,80,32,53,6132,64,882779440,0,13,0.052
18:45:20.236,10.0.2.250,10.0.3.10,34147,80,2,74,13110,64,386170177,0,34,0.088
18:45:20.310,10.0.2.253,10.0.3.10,57123,80,18,57,15962,64,1978867382,0,17,0.074
18:45:20.353,10.0.2.246,10.0.3.10,43591,80,18,55,4693,64,1959093425,0,15,0.043
18:45:20.448,10.0.2.125,10.0.3.10,23261,80,2,79,3457,64,2889044548,0,39,0.095
18:45:20.516,10.0.2.118,10.0.3.10,55196,80,1,90,1276,64,3818533856,0,50,0.068
18:45:20.564,10.0.2.187,10.0.3.10,27148,80,24,96,13534,64,1138015388,0,56,0.048
18:45:20.620,10.0.2.185,10.0.3.10,23244,80,24,78,13296,64,2927401557,0,38,0.056
18:45:20.676,10.0.2.128,10.0.3.10,47780,80,32,77,28508,64,2790554242,0,37,0.056
18:45:20.764,10.0.2.251,10.0.3.10,63590,80,18,56,6502,64,3761232352,0,16,0.088
18:45:20.820,10.0.2.51,10.0.3.10,57466,80,24,91,8874,64,2364530179,0,51,0.056
18:45:20.916,10.0.2.182,10.0.3.10,61127,80,24,98,18454,64,2048857328,0,58,0.096
18:45:21.004,10.0.2.58,10.0.3.10,47179,80,24,85,5864,64,1434335469,0,45,0.088
