Time,Src_IP,Dst_IP,S_Port,D_Port,Flags,Len,Win,TTL,Seq,Ack,Payload_Size,IAT
18:44:07.809,10.0.2.13,10.0.3.10,37264,80,2,54,64240,62,1475551343,0,0,0.0
18:44:07.821,10.0.3.10,10.0.2.13,80,37264,18,58,64240,63,3850358576,1475551344,0,0.012
18:44:07.822,10.0.2.13,10.0.3.10,37264,80,4,54,0,62,1475551344,0,0,0.001
18:44:07.892,10.0.2.13,10.0.3.10,37264,80,24,151,64240,62,1475551344,2176766765,97,0.07
18:44:07.892,10.0.3.10,10.0.2.13,80,37264,4,54,0,63,2176766765,0,0,0.0
18:44:08.312,10.0.2.31,10.0.3.10,64795,80,2,54,64240,62,3474008114,0,0,0.42
18:44:08.312,10.0.3.10,10.0.2.31,80,64795,18,58,64240,63,797260178,3474008115,0,0.0
18:44:08.369,10.0.2.31,10.0.3.10,64795,80,24,151,64240,62,3474008115,2170936993,97,0.057
18:44:08.370,10.0.3.10,10.0.2.31,80,64795,4,54,0,63,2170936993,0,0,0.001
18:44:08.788,10.0.2.42,10.0.3.10,37758,80,2,54,64240,62,2570315918,0,0,0.418
18:44:08.794,10.0.3.10,10.0.2.42,80,37758,18,58,64240,63,4200788769,2570315919,0,0.006
18:44:08.839,10.0.2.42,10.0.3.10,37758,80,24,151,64240,62,2570315919,1699404614,97,0.045
18:44:08.839,10.0.3.10,10.0.2.42,80,37758,4,54,0,63,1699404614,0,0,0.0
18:44:09.031,10.0.2.25,10.0.3.10,60853,80,2,54,64240,62,2315037765,0,0,0.192
18:44:09.043,10.0.3.10,10.0.2.25,80,60853,18,58,64240,63,3844441397,2315037766,0,0.012
18:44:09.083,10.0.2.25,10.0.3.10,60853,80,24,161,64240,62,2315037766,11102299,107,0.04
18:44:09.086,10.0.3.10,10.0.2.25,80,60853,4,54,0,63,11102299,0,0,0.003
18:44:09.329,10.0.2.39,10.0.3.10,54466,80,2,54,64240,62,691010605,0,0,0.243
18:44:09.331,10.0.3.10,10.0.2.39,80,54466,18,58,64240,63,2948558449,691010606,0,0.002
18:44:09.385,10.0.2.39,10.0.3.10,54466,80,24,151,64240,62,691010606,1310946627,97,0.054
18:44:09.387,10.0.3.10,10.0.2.39,80,54466,4,54,0,63,1310946627,0,0,0.002
18:44:09.890,10.0.2.29,10.0.3.10,4394,80,2,54,64240,62,3015256310,0,0,0.503
18:44:09.892,10.0.3.10,10.0.2.29,80,4394,18,58,64240,63,4062534036,3015256311,0,0.002
18:44:09.956,10.0.2.29,10.0.3.10,4394,80,24,151,64240,62,3015256311,2607192608,97,0.064
18:44:09.958,10.0.3.10,10.0.2.29,80,4394,4,54,0,63,2607192608,0,0,0.002
18:44:10.107,10.0.2.44,10.0.3.10,30263,80,2,54,64240,62,551135104,0,0,0.149
18:44:10.110,10.0.3.10,10.0.2.44,80,30263,18,58,64240,63,2471344940,551135105,0,0.003
18:44:10.160,10.0.2.44,10.0.3.10,30263,80,24,161,64240,62,551135105,868389388,107,0.05
18:44:10.162,10.0.3.10,10.0.2.44,80,30263,4,54,0,63,868389388,0,0,0.002
18:44:10.920,10.0.3.10,10.0.2.29,80,4394,18,58,64240,63,4062534036,3015256311,0,0.758
18:44:11.109,10.0.3.10,10.0.2.44,80,30263,18,58,64240,63,2471344940,551135105,0,0.189
18:44:13.125,10.0.3.10,10.0.2.44,80,30263,18,58,64240,63,2471344940,551135105,0,2.016
18:44:15.139,10.0.2.68,10.0.3.10,47697,80,2,54,64240,62,1493380265,0,0,2.014
18:44:15.140,10.0.3.10,10.0.2.68,80,47697,18,58,64240,63,132475912,1493380266,0,0.001
18:44:15.183,10.0.2.68,10.0.3.10,47697,80,24,150,64240,62,1493380266,776380055,96,0.043
